t	X1	X2
1664	0.895912475	0.850312597
1665	0.917889916	0.931291981
1666	0.815269577	0.839487063
1667	0.872674045	0.870500056
1668	0.889942809	0.934970647
1669	0.862329054	0.863096583
1670	0.797528808	0.877071372
1671	0.830370852	0.850327489
1672	0.851574652	0.872061276
1673	0.833206482	0.918327873
1674	0.866066611	0.817101414
1675	0.820746055	0.892091778
1676	0.812029685	0.883398111
1677	0.867981097	0.949783052
1678	0.785892107	0.909248127
1679	0.89979674	0.909354403
1680	0.887053728	1.013514993
1681	0.808944502	0.840033089
1682	0.879308792	0.892430431
1683	0.874098831	0.907035924
1684	0.819957192	0.865482891
1685	0.937566528	0.928613366
1686	0.82565076	0.882244571
1687	0.868339027	0.943834242
1688	0.775603616	1.042348797
1689	0.862116305	0.972713819
1690	0.814100511	0.980776114
1691	0.846251036	1.002506851
1692	0.81714697	0.919569573
1693	0.726744446	0.959042952
1694	0.829554566	0.921191346
1695	0.786037529	0.922097452
1696	0.847185991	0.891348686
1697	0.803071054	0.931741702
1698	0.733051314	0.982177595
1699	0.847297347	0.854244721
1700	0.807182972	0.962964695
1701	0.786812679	0.986839091
1702	0.738096499	0.829807258
1703	0.838709112	0.875607222
1704	0.769559398	0.962022061
1705	0.884075708	0.916263559
1706	0.886489651	0.894478589
1707	0.849271941	0.967571495
1708	0.750816274	0.920975628
1709	0.77962332	0.928582528
1710	0.846237426	1.012924713
1711	0.807426251	0.958698526
1712	0.845266379	0.991446283
1713	0.811835726	0.911730118
1714	0.749905049	0.919277094
1715	0.78719246	0.876027153
1716	0.704645536	0.891391351
1717	0.890185987	0.943594409
1718	0.762496454	1.017925329
1719	0.732299158	0.97930131
1720	0.775332898	0.886432566
1721	0.917313086	0.807912638
1722	0.817469497	0.834077941
1723	0.826481635	0.915931648
1724	0.839665359	0.910463186
1725	0.748277911	0.938936107
1726	0.82349863	0.924693129
1727	0.822368128	0.898058482
1728	0.801678663	0.791865749
1729	0.828715473	0.999375372
1730	0.746829677	0.92228044
1731	0.727461704	0.917807868
1732	0.762186978	0.844766161
1733	0.83358567	0.903402772
1734	0.812304033	0.906048251
1735	0.754541971	0.923631911
1736	0.76186687	0.788366279
1737	0.740690004	0.861624009
1738	0.829872972	0.912776756
1739	0.844199832	0.875327282
1740	0.796408837	0.845265387
1741	0.808440518	0.803567097
1742	0.777161937	0.944020549
1743	0.812082004	0.897638963
1744	0.897558944	0.87152531
1745	0.842108381	0.909304622
1746	0.847425014	0.886003863
1747	0.745712638	0.86597863
1748	0.864157363	0.931643623
1749	0.91591633	0.906098945
1750	0.825743685	0.846326388
1751	0.829825441	0.881563872
1752	0.80378315	0.990737401
1753	0.76516373	0.935870082
