time	X
3195	87.5561
3196	82.8435
3197	89.3348
3198	92.6395
3199	89.2463
3200	85.6811
3201	83.9417
3202	87.1547
3203	86.0611
3204	90.1078
3205	95.8611
3206	96.3146
3207	97.2412
3208	98.6813
3209	95.4296
3210	94.6545
3211	97.2203
3212	94.1551
3213	87.7219
3214	91.2265
3215	92.6065
3216	88.9075
3217	91.7247
3218	91.8326
3219	90.0909
3220	90.6478
3221	87.0159
3222	85.1095
3223	87.4573
3224	87.1187
3225	82.5242
3226	85.4674
3227	83.825
3228	90.1383
3229	88.5623
3230	91.0108
3231	87.8247
3232	89.1698
3233	88.2589
3234	93.8145
3235	94.851
3236	89.9538
3237	89.6279
3238	87.1116
3239	92.8901
3240	90.474
3241	85.6942
3242	86.4257
3243	92.1818
3244	91.6037
3245	93.0659
3246	89.827
3247	92.0064
3248	99.3839
3249	101.892
3250	99.2963
3251	96.8666
3252	94.5004
3253	89.1122
3254	82.3576
3255	86.3817
3256	83.4411
3257	81.027
3258	79.419
3259	90.8785
3260	85.9827
3261	87.8105
3262	93.6324
3263	85.723
3264	88.3546
3265	93.2314
3266	97.7859
3267	91.2014
3268	91.8201
3269	88.8942
3270	86.6733
3271	87.3137
3272	90.5244
3273	87.1771
3274	92.9287
3275	92.6387
3276	96.6415
3277	94.4772
3278	94.8474
3279	89.7128
3280	92.5187
3281	92.2636
3282	90.6474
3283	92.2448
3284	94.9809
3285	102.7055
3286	103.5114
3287	103.7032
3288	101.3712
3289	96.4187
3290	98.1517
3291	93.6506
3292	90.0435
3293	91.2632
3294	91.1886
3295	94.6285
3296	94.9538
3297	97.4115
3298	97.2648
3299	94.239
3300	90.7983
3301	94.7881
3302	95.4548
3303	95.8622
3304	94.8754
3305	96.0698
3306	97.022
3307	96.2863
3308	87.9274
3309	87.9748
3310	91.5385
3311	98.756
3312	99.6318
3313	99.7672
3314	95.4148
3315	94.5394
3316	91.1694
3317	87.622
3318	93.1707
3319	94.1549
3320	95.9674
3321	96.4643
3322	100.5844
3323	101.5426
3324	94.5829
3325	97.7256
3326	93.1927
3327	89.6248
3328	89.1237
3329	86.722
3330	88.1193
3331	89.4597
3332	94.5539
3333	97.3972
3334	96.3119
3335	96.1547
3336	83.4147
3337	85.7241
3338	88.2055
3339	89.7432
3340	89.1767
3341	88.0146
3342	86.4054
3343	89.6348
3344	86.5618
3345	86.7177
3346	93.3812
3347	94.2544
3348	94.1297
3349	82.8599
3350	88.3037
3351	81.4235
3352	84.543
3353	89.1424
3354	82.7502
3355	76.1468
3356	79.2045
3357	89.8164
3358	91.2529
3359	94.2057
3360	94.374
3361	92.3083
3362	97.8646
3363	99.4004
3364	93.552
3365	90.4159
3366	89.022
3367	88.9044
3368	85.1839
3369	88.2139
3370	90.0665
3371	90.7643
3372	91.5178
3373	87.0524
3374	84.3871
3375	80.3492
3376	79.0661
3377	78.8804
3378	81.6062
3379	81.5186
3380	92.17
3381	91.2292
3382	90.703
3383	86.868
3384	82.4757
3385	87.4135
3386	85.0033
3387	82.9355
3388	84.6207
3389	85.9452
3390	89.0556
3391	94.7258
3392	96.9563
3393	96.8134
3394	94.5746
3395	97.0314
3396	93.1984
3397	97.993
3398	96.2854
3399	97.0372
3400	92.9703
3401	94.4147
3402	93.9102
3403	92.594
3404	101.4634
3405	91.1705
3406	90.9313
3407	86.4622
3408	89.1302
3409	90.9271
3410	89.9845
3411	87.2178
3412	86.0522
3413	85.8051
3414	87.5921
3415	83.8449
3416	81.6769
3417	89.0531
3418	82.3777
3419	87.1099
3420	81.9708
3421	87.7096
3422	83.3063
3423	87.2721
3424	89.6806
3425	92.8447
3426	91.1243
3427	89.0042
3428	92.3865
3429	90.7146
3430	90.7986
3431	90.7226
3432	95.6899
3433	92.5692
3434	92.0221
3435	87.1425
3436	94.5399
3437	92.4998
3438	85.7368
3439	89.3647
3440	90.8202
3441	95.5101
3442	89.0567
3443	92.9236
3444	87.2198
3445	93.3527
3446	96.8207
3447	87.2492
3448	87.618
3449	88.1537
3450	88.8759
3451	94.9654
3452	89.169
3453	90.2668
3454	91.7297
3455	86.7423
3456	88.3459
3457	92.0299
3458	94.216
3459	91.6502
3460	99.7012
3461	100.2615
3462	88.7875
3463	86.7811
3464	87.0986
3465	87.0045
3466	83.8904
3467	88.9016
3468	80.8221
3469	74.8229
3470	74.9007
3471	83.5603
3472	87.375
3473	92.5488
3474	89.5261
3475	93.8374
3476	82.6386
3477	86.7118
3478	86.1342
3479	91.2602
3480	90.6796
3481	91.7086
3482	86.3886
3483	85.1112
3484	83.7637
3485	84.2692
3486	87.8079
3487	89.0363
3488	88.1922
3489	84.6229
3490	80.1955
3491	81.1028
3492	87.1616
3493	88.808
3494	89.5308
3495	92.7773
3496	90.3067
3497	97.8837
3498	93.7207
3499	90.7989
3500	94.2673
3501	93.8806
3502	87.6249
3503	85.6464
3504	82.8373
3505	86.4953
3506	90.6697
3507	90.3642
3508	90.1123
3509	92.7473
3510	97.7344
3511	97.5764
3512	99.1126
3513	98.4016
3514	101.7624
3515	97.4118
3516	101.6263
3517	103.8445
3518	99.428
3519	95.9295
3520	93.9144
3521	104.7915
3522	103.937
3523	99.3869
3524	93.4931
3525	90.996
3526	94.7638
3527	93.786
3528	94.8253
3529	92.5074
3530	91.837
3531	87.6951
3532	85.7602
3533	82.3602
3534	87.3545
3535	90.908
3536	86.689
3537	88.7091
3538	91.0753
3539	94.0963
3540	92.4839
3541	91.01
3542	89.7833
3543	89.5772
3544	90.0026
3545	90.6694
3546	95.8797
3547	89.1656
3548	91.4019
3549	91.6688
3550	96.095
3551	95.0749
3552	92.0005
3553	88.3616
3554	91.5343
3555	92.7736
3556	90.5655
3557	90.451
3558	90.5223
3559	90.5723
3560	94.6326
3561	89.6966
3562	83.7809
3563	93.0817
3564	87.6222
3565	87.4258
3566	91.4822
3567	92.8956
3568	92.0532
3569	96.0559
3570	96.6799
3571	90.578
3572	92.6339
3573	91.1256
3574	91.652
3575	84.5396
3576	89.0844
3577	93.4219
3578	94.6729
3579	92.551
3580	93.8192
3581	92.7372
3582	95.7491
3583	92.1262
3584	90.5364
3585	87.2305
3586	87.3967
3587	92.7893
3588	90.3816
3589	100.7093
3590	100.2175
3591	96.9846
3592	101.6146
3593	95.3968
3594	95.8337
3595	90.0276
3596	97.7344
3597	87.6959
3598	87.4906
3599	93.9822
3600	91.1204
3601	94.4003
3602	90.879
3603	92.7271
3604	93.2704
3605	87.9333
3606	86.9169
3607	85.3054
3608	84.554
3609	84.2817
3610	79.254
3611	80.1367
3612	78.9589
3613	82.4271
3614	85.7611
3615	87.5218
3616	92.4346
3617	92.2059
3618	85.866
3619	85.459
3620	85.7951
3621	82.2122
3622	89.259
3623	86.2492
3624	86.7779
3625	84.6702
3626	80.8825
3627	83.6894
3628	84.7612
3629	82.3824
3630	79.2984
3631	88.6717
3632	92.045
3633	86.7179
3634	92.7702
3635	90.7919
3636	91.6683
3637	93.1296
3638	86.0172
3639	83.7847
3640	81.4252
3641	83.481
3642	86.9585
3643	80.7458
3644	83.09
3645	81.0649
3646	83.2197
3647	88.7786
3648	93.0927
3649	91.9298
3650	88.7554
3651	87.6556
3652	89.9581
3653	81.463
3654	85.1243
3655	89.3036
3656	83.8838
3657	81.1693
3658	79.1562
3659	84.6963
3660	84.3349
3661	87.5893
3662	87.9769
3663	83.4346
3664	82.0093
3665	89.0528
3666	91.1525
3667	80.6462
3668	82.3366
3669	85.665
3670	84.8689
3671	80.5215
3672	87.5099
3673	89.7548
3674	91.9959
3675	89.455
3676	86.8278
3677	87.383
3678	83.7534
3679	81.4916
3680	84.5756
3681	83.943
3682	84.9644
3683	82.7221
3684	80.9234
3685	79.2187
3686	76.1535
3687	80.7487
3688	84.6194
3689	84.8404
3690	80.5292
3691	72.0732
3692	71.4359
3693	74.8388
3694	75.9809
3695	75.4942
3696	76.1876
3697	78.5805
3698	77.9358
3699	77.2852
3700	83.6435
3701	81.2773
3702	85.5144
3703	84.9666
3704	89.6729
3705	86.3965
3706	84.4095
3707	87.0909
3708	90.8413
3709	86.8193
3710	81.0425
3711	85.2906
3712	85.1979
3713	85.6064
3714	91.8673
3715	92.7685
3716	92.0606
3717	84.8595
3718	90.4586
3719	89.9696
3720	89.0134
3721	84.2444
3722	83.9333
3723	84.8863
3724	93.0576
3725	91.3419
3726	89.3505
3727	87.1358
3728	91.5926
3729	89.0663
3730	87.9428
3731	93.5024
3732	94.4038
3733	94.3713
3734	92.6862
3735	95.038
3736	90.5707
3737	87.6161
3738	87.5781
3739	86.3213
3740	82.6273
3741	84.3653
3742	80.3867
3743	83.8563
3744	79.6644
3745	76.9157
3746	83.0384
3747	82.9408
3748	88.2961
3749	89.1522
3750	89.5199
3751	86.2263
3752	85.8571
3753	90.0867
3754	87.2532
3755	93.5864
3756	89.0139
3757	90.956
3758	90.7442
3759	88.0892
3760	88.3138
3761	90.4297
3762	84.5495
3763	74.9968
3764	82.5627
3765	79.8117
3766	80.461
3767	77.3758
3768	82.1538
3769	83.2002
3770	89.631
3771	98.4274
3772	90.189
3773	88.9494
3774	85.5344
3775	85.0139
3776	94.6183
3777	92.2635
3778	93.8051
3779	89.6936
3780	89.7465
3781	94.9607
3782	95.5027
3783	95.2982
3784	93.7921
3785	100.0548
3786	95.803
3787	90.438
3788	92.7058
3789	90.214
3790	88.6061
3791	87.7943
3792	87.7509
3793	86.6996
3794	84.8046
3795	90.2368
3796	91.9285
3797	89.8902
3798	85.1101
3799	88.2723
3800	85.0653
3801	86.4151
3802	90.8533
3803	90.4143
3804	91.6954
3805	94.7186
3806	93.2709
3807	93.4741
3808	95.0654
3809	93.3352
3810	94.3139
3811	96.0084
3812	94.5037
3813	87.236
3814	86.7519
3815	87.5477
3816	90.4077
3817	87.0363
3818	88.5279
3819	90.9495
3820	89.0613
3821	93.0475
3822	91.6137
3823	99.2369
3824	95.7198
3825	97.0196
3826	92.7511
3827	93.6735
3828	90.209
3829	94.2337
3830	94.5401
3831	92.5505
3832	93.6102
3833	88.3916
3834	88.8412
3835	88.4419
3836	75.5132
3837	72.4787
3838	80.0399
3839	80.202
3840	78.5021
3841	81.7724
3842	83.4209
3843	78.568
3844	81.8711
3845	73.4478
3846	74.5971
3847	78.1852
3848	82.2533
3849	83.6425
3850	85.3663
3851	83.1427
3852	86.88
3853	91.0007
3854	93.5347
3855	93.7359
3856	95.8024
3857	90.7583
3858	83.3387
3859	87.3414
3860	84.9885
3861	87.4644
3862	89.3396
3863	96.1865
3864	102.7226
3865	98.5317
3866	99.809
3867	100.5933
3868	100.7137
3869	94.6079
3870	93.0359
3871	91.9723
3872	87.4845
3873	92.0651
3874	92.2291
3875	93.6894
3876	95.8723
3877	95.906
3878	92.7009
3879	87.6717
3880	90.9955
3881	92.5556
3882	90.3372
3883	87.5348
3884	94.6965
3885	97.2091
3886	98.6536
3887	95.587
3888	94.6444
3889	91.0437
3890	93.2949
3891	93.2763
3892	92.8543
3893	92.1276
3894	88.9748
3895	88.1432
3896	87.0157
3897	87.7746
3898	84.2268
3899	79.6406
3900	82.9192
3901	82.1625
3902	83.8672
3903	80.012
3904	86.6358
3905	84.6119
3906	79.6172
3907	86.3359
3908	86.8882
3909	81.7821
3910	78.814
3911	76.7647
3912	75.6888
3913	78.9289
3914	83.0417
3915	88.1362
3916	90.2891
3917	85.6711
3918	88.0814
3919	91.7493
3920	86.6738
3921	90.9381
3922	91.4344
3923	89.4861
3924	86.675
3925	78.9539
3926	90.1395
3927	86.2439
3928	83.5634
3929	80.7307
3930	80.0561
3931	78.3567
3932	76.9969
3933	80.1032
3934	83.2377
3935	83.0948
3936	81.649
3937	88.5099
3938	91.0077
3939	93.1561
3940	96.1955
3941	95.1656
3942	95.8209
3943	92.5845
3944	93.1919
3945	94.7952
3946	99.2842
3947	95.9154
3948	92.9595
3949	95.1764
3950	93.3488
3951	89.0403
3952	89.1711
3953	92.3065
3954	85.9271
3955	83.5725
3956	92.2572
3957	87.204
3958	87.0535
3959	80.9417
3960	83.808
3961	82.5416
3962	83.3052
3963	87.46
3964	90.6813
3965	93.6492
3966	85.8473
3967	83.364
3968	84.46
3969	86.5778
3970	91.9559
3971	93.5238
3972	92.102
3973	85.1281
3974	88.5775
3975	90.4751
3976	89.3585
3977	87.5843
3978	85.3918
3979	88.4456
3980	89.4225
3981	88.3878
3982	89.7653
3983	85.2931
3984	81.0081
3985	88.6758
3986	88.0265
3987	89.7859
3988	91.3919
3989	90.0483
3990	96.1421
3991	91.2676
3992	94.3888
3993	97.5276
3994	90.9488
3995	88.6014
3996	82.592
3997	83.3792
3998	88.0309
3999	87.9282
4000	85.6164
4001	85.4592
4002	86.5956
4003	83.0801
4004	85.8127
4005	89.3179
4006	88.6581
4007	88.802
4008	90.9257
4009	93.2112
4010	96.3257
4011	90.757
4012	87.411
4013	82.1332
4014	79.8106
4015	86.7258
4016	86.7612
4017	85.9008
4018	87.8529
4019	90.4665
4020	90.807
4021	86.9045
4022	86.2486
4023	87.3936
4024	84.7455
4025	84.5625
4026	88.887
4027	97.4629
4028	94.562
4029	94.125
4030	89.5402
4031	88.6867
4032	85.9024
4033	91.5238
4034	90.6279
4035	88.8413
4036	91.7565
4037	87.5875
4038	90.1063
4039	91.4589
4040	86.1439
4041	84.1933
4042	79.2295
4043	83.0475
4044	83.4326
4045	84.3855
4046	83.6176
4047	83.6485
4048	85.6862
4049	84.9943
4050	86.6921
4051	88.634
4052	89.9306
4053	95.4376
4054	92.4546
4055	90.5011
4056	92.6714
4057	94.2034
4058	89.4522
4059	89.2394
4060	93.3815
4061	86.1653
4062	82.2121
4063	85.7519
4064	87.4704
4065	89.6349
4066	91.1758
4067	92.9754
4068	96.7477
4069	96.7397
4070	97.2739
4071	96.0429
4072	89.4936
4073	97.3367
4074	94.8745
4075	92.7797
4076	95.6764
4077	98.5253
4078	100.5301
4079	98.7665
4080	101.3696
4081	96.6449
4082	97.5205
4083	98.7852
4084	97.3183
4085	95.2662
4086	89.5095
4087	85.5243
4088	85.0315
4089	92.7186
4090	86.4702
4091	87.8336
4092	85.6732
4093	90.6229
4094	94.3864
4095	93.7582
4096	96.7115
4097	96.6133
4098	98.2418
4099	99.8829
4100	100.3283
4101	95.0506
4102	93.5078
4103	95.1555
4104	88.7484
4105	87.675
4106	85.7383
4107	88.283
4108	92.1341
4109	87.9876
4110	90.7787
4111	89.6811
4112	90.4533
4113	90.037
4114	88.8112
4115	95.8997
4116	93.1831
4117	93.7896
4118	91.586
4119	95.1109
4120	92.456
4121	88.6213
4122	91.2103
4123	85.7001
4124	81.1099
4125	86.2102
4126	83.543
4127	77.4321
4128	82.0432
4129	83.4815
4130	89.5553
4131	90.6616
4132	91.0747
4133	93.5395
4134	95.5632
4135	95.0126
4136	94.4815
4137	89.7521
4138	91.3792
4139	95.484
4140	90.4502
4141	92.3608
4142	92.9599
4143	92.4291
4144	91.7057
4145	95.3367
4146	93.3956
4147	92.8858
4148	87.1532
4149	87.3451
4150	86.4318
4151	87.1329
4152	86.4022
4153	86.4438
4154	93.6573
4155	89.9098
4156	86.0822
4157	90.9863
4158	90.6128
4159	82.9336
4160	83.9215
4161	88.03
4162	85.6732
4163	81.7246
4164	83.488
4165	85.715
4166	85.45
4167	84.2703
4168	81.759
4169	86.2275
4170	90.7214
4171	87.7584
4172	86.2652
4173	83.6096
4174	82.5492
4175	88.496
4176	84.0868
4177	86.8491
4178	85.3177
4179	89.9852
4180	87.8253
4181	88.4592
4182	89.2509
4183	97.0277
4184	88.3874
4185	90.1283
4186	94.1825
4187	92.1882
4188	84.1406
4189	81.6411
4190	82.8168
4191	87.153
4192	89.09
4193	93.5653
4194	89.7422
4195	90.1769
4196	95.3626
4197	94.1475
4198	89.2813
4199	90.257
4200	88.5039
4201	86.8442
4202	95.2302
4203	85.1526
4204	83.7549
4205	88.6839
4206	83.6916
4207	85.2061
4208	85.9314
4209	92.3338
4210	89.7086
4211	86.6226
4212	93.6088
4213	83.3226
4214	89.8851
4215	87.3311
4216	85.7023
4217	81.6164
4218	87.6441
4219	86.3963
4220	86.881
4221	88.1913
4222	92.4308
4223	91.5615
4224	94.1045
4225	89.4432
4226	92.0652
4227	90.5705
4228	94.2972
4229	98.1327
4230	92.0857
4231	89.7216
4232	92.9353
4233	94.2162
4234	91.2941
4235	91.1677
4236	93.3866
4237	93.0299
4238	90.5746
4239	90.6728
4240	94.2566
4241	90.2714
4242	84.7732
4243	89.7063
4244	86.0527
4245	88.9486
4246	85.8418
4247	85.0119
4248	87.3482
4249	86.4568
4250	86.4555
4251	90.9588
4252	86.4724
4253	87.6767
4254	84.9326
